,Participant_ID,Starting_Plateau_Idx,Block,Cycle_Idx,Stages,Directions,Phase,Pentagon_selected,Star_selected,Response,Response_time,Correctness,spu_elements_percentage,Selection,Condition_Name
117,1,1,2,18,P3,pentagon_to_star,pentagon_plateau,0,1,4,1111,1,1,0,Lab
118,1,1,2,19,T1,pentagon_to_star,pentagon_to_star_trans,0,1,3,1014,1,0.933333333333333,0,Lab
119,1,1,2,20,T2,pentagon_to_star,pentagon_to_star_trans,0,1,2,1094,1,0.866666666666667,0,Lab
120,1,1,2,21,T3,pentagon_to_star,pentagon_to_star_trans,1,0,4,1210,1,0.8,1,Lab
121,1,1,2,22,T4,pentagon_to_star,pentagon_to_star_trans,0,1,3,1552,1,0.733333333333333,0,Lab
122,1,1,2,23,T5,pentagon_to_star,pentagon_to_star_trans,0,1,4,1176,1,0.666666666666667,0,Lab
123,1,1,2,24,T6,pentagon_to_star,pentagon_to_star_trans,0,1,3,810,1,0.6,0,Lab
124,1,1,2,25,T7,pentagon_to_star,pentagon_to_star_trans,1,0,4,1697,1,0.533333333333333,1,Lab
125,1,1,2,26,T8,pentagon_to_star,pentagon_to_star_trans,0,1,2,1915,1,0.466666666666667,0,Lab
126,1,1,2,27,T9,pentagon_to_star,pentagon_to_star_trans,1,0,4,1340,1,0.4,1,Lab
127,1,1,2,28,T10,pentagon_to_star,pentagon_to_star_trans,1,0,4,1331,1,0.333333333333333,1,Lab
128,1,1,2,29,T11,pentagon_to_star,pentagon_to_star_trans,1,0,3,947,1,0.266666666666667,1,Lab
129,1,1,2,30,T12,pentagon_to_star,pentagon_to_star_trans,1,0,4,1099,1,0.2,1,Lab
130,1,1,2,31,T13,pentagon_to_star,pentagon_to_star_trans,1,0,2,1211,1,0.133333333333333,1,Lab
131,1,1,2,32,P1,star_to_pentagon,star_plateau,1,0,4,1086,1,0.066666666666667,1,Lab
132,1,1,2,33,P2,star_to_pentagon,star_plateau,0,1,3,1128,1,0.066666666666667,0,Lab
133,1,1,2,34,P3,star_to_pentagon,star_plateau,1,0,2,1857,1,0.066666666666667,1,Lab
134,1,1,2,35,T1,star_to_pentagon,star_to_pentagon_trans,1,0,2,1298,1,0.133333333333333,1,Lab
135,1,1,2,36,T2,star_to_pentagon,star_to_pentagon_trans,1,0,1,1052,1,0.2,1,Lab
136,1,1,2,37,T3,star_to_pentagon,star_to_pentagon_trans,0,1,4,809,1,0.266666666666667,0,Lab
137,1,1,2,38,T4,star_to_pentagon,star_to_pentagon_trans,1,0,3,1116,1,0.333333333333333,1,Lab
138,1,1,2,39,T5,star_to_pentagon,star_to_pentagon_trans,1,0,3,1075,1,0.4,1,Lab
139,1,1,2,40,T6,star_to_pentagon,star_to_pentagon_trans,0,1,3,783,1,0.466666666666667,0,Lab
140,1,1,2,41,T7,star_to_pentagon,star_to_pentagon_trans,1,0,4,1084,1,0.533333333333333,1,Lab
141,1,1,2,42,T8,star_to_pentagon,star_to_pentagon_trans,1,0,1,1094,1,0.6,1,Lab
142,1,1,2,43,T9,star_to_pentagon,star_to_pentagon_trans,0,1,4,937,1,0.666666666666667,0,Lab
143,1,1,2,44,T10,star_to_pentagon,star_to_pentagon_trans,1,0,2,921,1,0.733333333333333,1,Lab
144,1,1,2,45,T11,star_to_pentagon,star_to_pentagon_trans,0,1,4,1023,1,0.8,0,Lab
145,1,1,2,46,T12,star_to_pentagon,star_to_pentagon_trans,1,0,2,709,1,0.866666666666667,1,Lab
146,1,1,2,47,T13,star_to_pentagon,star_to_pentagon_trans,0,1,2,795,1,0.933333333333333,0,Lab
147,1,1,2,48,P1,pentagon_to_star,pentagon_plateau,0,1,2,540,1,1,0,Lab
148,1,1,2,49,P2,pentagon_to_star,pentagon_plateau,0,1,4,912,1,1,0,Lab
149,1,1,2,50,P3,pentagon_to_star,pentagon_plateau,1,0,3,652,1,1,1,Lab
150,1,1,2,51,T1,pentagon_to_star,pentagon_to_star_trans,0,1,3,1163,1,0.933333333333333,0,Lab
151,1,1,2,52,T2,pentagon_to_star,pentagon_to_star_trans,0,1,1,1255,1,0.866666666666667,0,Lab
152,1,1,2,53,T3,pentagon_to_star,pentagon_to_star_trans,0,1,4,1144,1,0.8,0,Lab
153,1,1,2,54,T4,pentagon_to_star,pentagon_to_star_trans,0,1,4,1171,1,0.733333333333333,0,Lab
154,1,1,2,55,T5,pentagon_to_star,pentagon_to_star_trans,0,1,1,1814,1,0.666666666666667,0,Lab
155,1,1,2,56,T6,pentagon_to_star,pentagon_to_star_trans,0,1,2,2101,1,0.6,0,Lab
156,1,1,2,57,T7,pentagon_to_star,pentagon_to_star_trans,1,0,2,2000,1,0.533333333333333,1,Lab
157,1,1,2,58,T8,pentagon_to_star,pentagon_to_star_trans,0,1,1,938,1,0.466666666666667,0,Lab
158,1,1,2,59,T9,pentagon_to_star,pentagon_to_star_trans,1,0,4,970,1,0.4,1,Lab
159,1,1,2,60,T10,pentagon_to_star,pentagon_to_star_trans,0,1,3,1335,1,0.333333333333333,0,Lab
160,1,1,2,61,T11,pentagon_to_star,pentagon_to_star_trans,0,1,3,1368,1,0.266666666666667,0,Lab
161,1,1,2,62,T12,pentagon_to_star,pentagon_to_star_trans,1,0,4,3408,1,0.2,1,Lab
162,1,1,2,63,T13,pentagon_to_star,pentagon_to_star_trans,0,1,3,1151,1,0.133333333333333,0,Lab
163,1,1,2,64,P1,star_to_pentagon,star_plateau,0,1,2,1105,1,0.066666666666667,0,Lab
164,1,1,2,65,P2,star_to_pentagon,star_plateau,1,0,4,1025,1,0.066666666666667,1,Lab
165,1,1,2,66,P3,star_to_pentagon,star_plateau,1,0,1,864,1,0.066666666666667,1,Lab
166,1,1,2,67,T1,star_to_pentagon,star_to_pentagon_trans,1,0,2,995,1,0.133333333333333,1,Lab
167,1,1,2,68,T2,star_to_pentagon,star_to_pentagon_trans,0,0,3,1213,0,0.2,0,Lab
168,1,1,2,69,T3,star_to_pentagon,star_to_pentagon_trans,1,0,3,843,1,0.266666666666667,1,Lab
169,1,1,2,70,T4,star_to_pentagon,star_to_pentagon_trans,0,1,4,1082,1,0.333333333333333,0,Lab
170,1,1,2,71,T5,star_to_pentagon,star_to_pentagon_trans,1,0,4,1037,1,0.4,1,Lab
171,1,1,2,72,T6,star_to_pentagon,star_to_pentagon_trans,1,0,3,1994,1,0.466666666666667,1,Lab
172,1,1,2,73,T7,star_to_pentagon,star_to_pentagon_trans,0,1,4,815,1,0.533333333333333,0,Lab
173,1,1,2,74,T8,star_to_pentagon,star_to_pentagon_trans,1,0,1,1557,1,0.6,1,Lab
174,1,1,2,75,T9,star_to_pentagon,star_to_pentagon_trans,1,0,3,1086,1,0.666666666666667,1,Lab
175,1,1,2,76,T10,star_to_pentagon,star_to_pentagon_trans,0,1,3,1243,1,0.733333333333333,0,Lab
176,1,1,2,77,T11,star_to_pentagon,star_to_pentagon_trans,1,0,1,1028,1,0.8,1,Lab
177,1,1,2,78,T12,star_to_pentagon,star_to_pentagon_trans,0,1,2,1094,1,0.866666666666667,0,Lab
178,1,1,2,79,T13,star_to_pentagon,star_to_pentagon_trans,0,1,4,1139,1,0.933333333333333,0,Lab
179,1,1,2,80,P1,pentagon_to_star,pentagon_plateau,0,0,3,924,0,1,0,Lab
180,1,1,2,81,P2,pentagon_to_star,pentagon_plateau,0,1,2,1518,1,1,0,Lab
181,1,1,2,82,P3,pentagon_to_star,pentagon_plateau,0,1,4,1081,1,1,0,Lab
