,Participant_ID,Condition_Name,Starting_Plateau_Idx,Cycle_Idx,Decline_First_Selection
301,1,Bergmann Colored vs. Gray,1,11,0.0
302,1,Bergmann Colored vs. Gray,1,12,0.0
303,1,Bergmann Colored vs. Gray,1,13,0.0
304,1,Bergmann Colored vs. Gray,1,14,1.0
305,1,Bergmann Colored vs. Gray,1,15,0.0
306,1,Bergmann Colored vs. Gray,1,16,1.0
307,1,Bergmann Colored vs. Gray,1,18,1.0
308,1,Bergmann Colored vs. Gray,1,19,1.0
309,1,Bergmann Colored vs. Gray,1,20,0.0
310,1,Bergmann Colored vs. Gray,1,21,1.0
311,1,Bergmann Colored vs. Gray,1,23,1.0
312,1,Bergmann Colored vs. Gray,1,26,0.0
313,1,Bergmann Colored vs. Gray,1,27,1.0
314,1,Bergmann Colored vs. Gray,1,28,1.0
315,1,Bergmann Colored vs. Gray,1,29,0.0
316,1,Bergmann Colored vs. Gray,1,30,1.0
317,1,Bergmann Colored vs. Gray,1,31,1.0
318,1,Bergmann Colored vs. Gray,1,0,1.0
319,1,Bergmann Colored vs. Gray,1,1,0.0
320,1,Bergmann Colored vs. Gray,1,2,1.0
321,1,Bergmann Colored vs. Gray,1,3,0.0
322,1,Bergmann Colored vs. Gray,1,4,0.0
323,1,Bergmann Colored vs. Gray,1,6,0.0
324,1,Bergmann Colored vs. Gray,1,7,1.0
325,1,Bergmann Colored vs. Gray,1,9,1.0
326,1,Bergmann Colored vs. Gray,1,10,1.0
327,1,Bergmann Colored vs. Gray,1,11,0.0
328,1,Bergmann Colored vs. Gray,1,12,0.0
329,1,Bergmann Colored vs. Gray,1,13,0.0
330,1,Bergmann Colored vs. Gray,1,14,0.0
331,1,Bergmann Colored vs. Gray,1,15,1.0
332,1,Bergmann Colored vs. Gray,1,16,0.0
333,1,Bergmann Colored vs. Gray,1,17,0.0
334,1,Bergmann Colored vs. Gray,1,18,0.0
335,1,Bergmann Colored vs. Gray,1,19,0.0
336,1,Bergmann Colored vs. Gray,1,21,0.0
337,1,Bergmann Colored vs. Gray,1,23,1.0
338,1,Bergmann Colored vs. Gray,1,24,0.0
339,1,Bergmann Colored vs. Gray,1,25,0.0
340,1,Bergmann Colored vs. Gray,1,26,0.0
341,1,Bergmann Colored vs. Gray,1,27,1.0
342,1,Bergmann Colored vs. Gray,1,28,0.0
343,1,Bergmann Colored vs. Gray,1,30,0.0
344,1,Bergmann Colored vs. Gray,1,31,0.0
345,1,Bergmann Colored vs. Gray,1,0,0.0
346,1,Bergmann Colored vs. Gray,1,1,0.0
347,1,Bergmann Colored vs. Gray,1,2,0.0
348,1,Bergmann Colored vs. Gray,1,3,1.0
349,1,Bergmann Colored vs. Gray,1,4,1.0
350,1,Bergmann Colored vs. Gray,1,5,0.0
351,1,Bergmann Colored vs. Gray,1,7,1.0
352,1,Bergmann Colored vs. Gray,1,8,1.0
