,Participant_ID,Starting_Plateau_Idx,Block,Cycle_Idx,Stages,Directions,Phase,Pentagon_selected,Star_selected,Response,Response_time,Correctness,Condition_Name,Selection
197,56,1,2,98,P3,star_to_pentagon,star_plateau,0,0,4,966,0,Online,0
198,56,1,3,0,P1,star_to_pentagon,star_plateau,0,0,2,1702,0,Online,0
199,56,1,3,1,P2,star_to_pentagon,star_plateau,0,0,1,940,0,Online,0
200,56,1,3,2,P3,star_to_pentagon,star_plateau,0,0,3,1665,0,Online,0
201,56,1,3,3,T1,star_to_pentagon,star_to_pentagon_trans,0,0,2,1048,0,Online,0
202,56,1,3,4,T2,star_to_pentagon,star_to_pentagon_trans,1,0,1,1488,1,Online,1
203,56,1,3,5,T3,star_to_pentagon,star_to_pentagon_trans,0,0,1,2023,0,Online,0
204,56,1,3,6,T4,star_to_pentagon,star_to_pentagon_trans,0,0,3,1737,0,Online,0
205,56,1,3,7,T5,star_to_pentagon,star_to_pentagon_trans,0,1,1,2237,1,Online,0
206,56,1,3,8,T6,star_to_pentagon,star_to_pentagon_trans,1,0,1,2007,1,Online,1
207,56,1,3,9,T7,star_to_pentagon,star_to_pentagon_trans,0,1,3,1640,1,Online,0
208,56,1,3,10,T8,star_to_pentagon,star_to_pentagon_trans,0,0,2,1664,0,Online,0
209,56,1,3,11,T9,star_to_pentagon,star_to_pentagon_trans,0,0,4,992,0,Online,0
210,56,1,3,12,T10,star_to_pentagon,star_to_pentagon_trans,1,0,2,1002,1,Online,1
211,56,1,3,13,T11,star_to_pentagon,star_to_pentagon_trans,0,0,2,1676,0,Online,0
212,56,1,3,14,T12,star_to_pentagon,star_to_pentagon_trans,0,1,3,1867,1,Online,0
213,56,1,3,15,T13,star_to_pentagon,star_to_pentagon_trans,0,0,1,1338,0,Online,0
214,56,1,3,16,P1,pentagon_to_star,pentagon_plateau,1,0,3,895,1,Online,1
215,56,1,3,17,P2,pentagon_to_star,pentagon_plateau,1,0,1,1822,1,Online,1
216,56,1,3,18,P3,pentagon_to_star,pentagon_plateau,0,0,4,1127,0,Online,0
217,56,1,3,19,T1,pentagon_to_star,pentagon_to_star_trans,0,0,3,1277,0,Online,0
218,56,1,3,20,T2,pentagon_to_star,pentagon_to_star_trans,0,0,4,1436,0,Online,0
219,56,1,3,21,T3,pentagon_to_star,pentagon_to_star_trans,1,0,2,1245,1,Online,1
220,56,1,3,22,T4,pentagon_to_star,pentagon_to_star_trans,0,0,4,2093,0,Online,0
221,56,1,3,23,T5,pentagon_to_star,pentagon_to_star_trans,0,0,1,2036,0,Online,0
222,56,1,3,24,T6,pentagon_to_star,pentagon_to_star_trans,0,1,4,1861,1,Online,0
223,56,1,3,25,T7,pentagon_to_star,pentagon_to_star_trans,0,1,4,1572,1,Online,0
224,56,1,3,26,T8,pentagon_to_star,pentagon_to_star_trans,0,0,2,1551,0,Online,0
225,56,1,3,27,T9,pentagon_to_star,pentagon_to_star_trans,1,0,3,1188,1,Online,1
226,56,1,3,28,T10,pentagon_to_star,pentagon_to_star_trans,0,0,3,1862,0,Online,0
