,optimal_selected_optimal_first_fixation,optimal_selected_nonoptimal_first_fixation,nonoptimal_selected_nonoptimal_first_fixation,nonoptimal_selected_optimal_first_fixation,optimal_selected_optimal_last_fixation,optimal_selected_nonoptimal_last_fixation,nonoptimal_selected_nonoptimal_last_fixation,nonoptimal_selected_optimal_last_fixation,optimal_selected_optimal_total_fixation,optimal_selected_nonoptimal_total_fixation,nonoptimal_selected_nonoptimal_total_fixation,nonoptimal_selected_optimal_total_fixation
28,0.35714285714285715,0.6428571428571429,0.7230769230769231,0.27692307692307694,0.6071428571428571,0.39285714285714285,0.8153846153846154,0.18461538461538463,2.3214285714285716,1.9285714285714286,3.046153846153846,0.7230769230769231
29,0.5217391304347826,0.4782608695652174,0.7446808510638298,0.2553191489361702,0.5217391304347826,0.4782608695652174,0.723404255319149,0.2765957446808511,2.4782608695652173,1.326086956521739,2.425531914893617,0.7021276595744681
30,0.48,0.52,0.6976744186046512,0.3023255813953488,0.66,0.34,0.6976744186046512,0.3023255813953488,1.96,1.26,1.8837209302325582,0.8604651162790697
31,0.54,0.46,0.6744186046511628,0.32558139534883723,0.76,0.24,0.7441860465116279,0.2558139534883721,2.52,1.08,2.3488372093023258,1.0232558139534884
32,0.627906976744186,0.37209302325581395,0.62,0.36,0.3953488372093023,0.6046511627906976,0.44,0.56,2.1627906976744184,1.6511627906976745,2.14,1.72
33,0.38461538461538464,0.6153846153846154,0.7037037037037037,0.2962962962962963,0.6153846153846154,0.38461538461538464,0.7407407407407407,0.25925925925925924,2.5128205128205128,1.8461538461538463,3.259259259259259,0.7407407407407407
34,0.6956521739130435,0.30434782608695654,0.6595744680851063,0.3404255319148936,0.6086956521739131,0.391304347826087,0.6382978723404256,0.3617021276595745,2.347826086956522,0.8913043478260869,2.106382978723404,1.1914893617021276
35,0.6428571428571429,0.35714285714285715,0.6666666666666666,0.3333333333333333,0.38095238095238093,0.6190476190476191,0.5882352941176471,0.4117647058823529,2.119047619047619,1.7380952380952381,2.1176470588235294,1.3529411764705883
36,0.29545454545454547,0.7045454545454546,0.5714285714285714,0.42857142857142855,0.5454545454545454,0.45454545454545453,0.7551020408163265,0.24489795918367346,2.340909090909091,2.0681818181818183,3.122448979591837,0.9387755102040817
37,0.4418604651162791,0.5581395348837209,0.62,0.38,0.5116279069767442,0.4883720930232558,0.7,0.3,1.813953488372093,1.6744186046511629,2.48,0.92
38,0.575,0.425,0.7735849056603774,0.22641509433962265,0.675,0.325,0.7735849056603774,0.22641509433962265,2.125,1.175,2.3962264150943398,0.5660377358490566
